# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	1444
#@/user_id	fcitx-rime
a 	啊	c=3 d=0.432287 t=1444
geng xin 	更新	c=2 d=0.0628627 t=1444
gong shi 	公式	c=1 d=0.00341356 t=1444
gong si 	公司	c=1 d=0.0015648 t=1444
gou 	勾	c=1 d=0.66365 t=1444
gou gu 	溝谷	c=0 d=0.0657047 t=1444
gou gu ding lv 	溝谷定律	c=1 d=0.66034 t=1444
gu 	股	c=1 d=0.666977 t=1444
gu hua 	固化	c=0 d=0.000211225 t=1444
guan 	官	c=2 d=0.0194241 t=1444
guan dong di qu 	關東地區	c=1 d=0.00869506 t=1444
guan fang 	官方	c=1 d=0.045275 t=1444
guan yuan 	官員	c=1 d=0.00927901 t=1444
guan zhi 	官職	c=1 d=0.00697795 t=1444
guang min 	光敏	c=1 d=0.0773047 t=1444
gui 	桂	c=1 d=0.00848038 t=1444
guo 	國	c=2 d=0.00361787 t=1444
guo 	過	c=2 d=0.466237 t=1444
guo an 	國安	c=1 d=0.00177677 t=1444
guo liang 	過量	c=1 d=0.174645 t=1444
guo shi da gang 	國史大綱	c=2 d=1.80146 t=1444
hai shi 	還是	c=1 d=0.0018734 t=1444
hai you 	還有	c=0 d=0.0319819 t=1444
hai you yi ge 	還有一個	c=1 d=0.321422 t=1444
han 	漢	c=1 d=0.00673795 t=1444
han guo 	韓國	c=1 d=0.0023344 t=1444
han shu 	函數	c=1 d=0.657047 t=1444
han you 	含有	c=1 d=0.0539337 t=1444
hang ban 	航班	c=1 d=0.839457 t=1444
hao 	好	c=3 d=0.250783 t=1444
hao 	號	c=1 d=0.565525 t=1444
hao yong 	好用	c=3 d=0.68463 t=1444
he 	和	c=13 d=3.72132 t=1444
he 	閡	c=1 d=0.0020601 t=1444
he nan 	河南	c=1 d=0.355226 t=1444
hei 	黑	c=1 d=0.0127147 t=1444
hei ti 	黑體	c=4 d=0.100776 t=1444
hen 	很	c=1 d=0.00786762 t=1444
hen duo 	很多	c=1 d=0.186374 t=1444
hen you 	很油	c=1 d=0.0997588 t=1444
hong 	宏	c=5 d=0.123271 t=1444
hong 	紅	c=3 d=0.857555 t=1444
hong bao 	紅包	c=1 d=0.0322254 t=1444
hou 	厚	c=1 d=0.0106202 t=1444
hou 	後	c=4 d=0.0764489 t=1444
hou gen 	後跟	c=1 d=0.119433 t=1444
hou mian 	後面	c=3 d=0.0500041 t=1444
