# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	594
#@/user_id	fcitx-rime
a 	啊	c=1 d=0.955997 t=594
you ku 	優酷	c=1 d=1 t=594
you yi ge 	由一个	c=1 d=0.327915 t=594
you yu 	由於	c=1 d=0.103312 t=594
yu 	與	c=1 d=0.292293 t=594
yu yan 	語言	c=1 d=0.2274 t=594
yu yan li mian 	語言裏面	c=1 d=0.204948 t=594
yue 	越	c=1 d=0.0769192 t=594
yue lai 	越來	c=1 d=0.0765355 t=594
zai 	在	c=4 d=3.09843 t=594
ze 	則	c=1 d=0.0880368 t=594
zhao bu dao 	找不到	c=1 d=0.782705 t=594
zhe ge 	這個	c=7 d=2.64049 t=594
zhe yang 	這樣	c=1 d=0.923116 t=594
zhe yi dian 	這一點	c=1 d=0.609571 t=594
zhi 	只	c=1 d=0.554327 t=594
zhi chi 	支持	c=1 d=0.822835 t=594
zhi jie 	直接	c=3 d=0.704034 t=594
zhi wai 	之外	c=1 d=0.090718 t=594
zhi xu yao 	只需要	c=2 d=0.726266 t=594
zhong 	中	c=4 d=2.24439 t=594
zhong yao 	重要	c=1 d=0.615697 t=594
zhu shi 	註釋	c=2 d=1.09605 t=594
zhu yao 	主要	c=1 d=0.225373 t=594
zhu yi 	注意	c=2 d=0.88373 t=594
zi dai 	自帶	c=2 d=0.755568 t=594
zi fu chuan 	字符串	c=1 d=0.985112 t=594
zi ji 	自己	c=1 d=0.156867 t=594
zi mu 	字母	c=1 d=1.03969 t=594
zi mu shu zi 	字母數字	c=1 d=0.980199 t=594
zi yang 	字樣	c=2 d=0.822609 t=594
